author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Илья Филипонский,realtor,https://www.cian.ru/sale/flat/304192999/,Москва,sale,flat,5,16,1,39.0,14000000.0,Чертаново Центральное,Варшавское шоссе,142К1,Пражская,
Rooms and Rent Group,real_estate_agent,https://www.cian.ru/sale/flat/303921166/,Москва,sale,flat,16,20,1,41.9,14550000.0,Чертаново Южное,Варшавское шоссе,160к2,Аннино,Аннинский
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303870914/,Москва,sale,flat,9,17,2,51.1,14800000.0,Марьино,Новомарьинская ,36К1,Братиславская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/301597650/,Москва,sale,flat,5,9,2,44.8,15190000.0,Очаково-Матвеевское,Очаковское шоссе,11К1,Аминьевская,
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/303807545/,Москва,sale,flat,14,17,2,64.0,15990000.0,, Бориса Пастернака,49,Мичуринец,
Павел Пряжников,realtor,https://www.cian.ru/sale/flat/303823301/,Москва,sale,flat,9,16,1,38.0,16000000.0,Кунцево,Полоцкая ,25к1,Молодёжная,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/302524825/,Москва,sale,flat,5,12,2,52.1,16290000.0,Коптево,проезд Черепановых,72К1,Лихоборы,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/302461267/,Москва,sale,flat,5,9,2,45.0,16990000.0,Ломоносовский, Гарибальди,4К5,Новаторская,
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/301506427/,Москва,sale,flat,1,12,2,38.2,17200000.0,Тверской, Бутырский Вал,34,Белорусская,
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303787673/,Москва,sale,flat,3,16,2,57.0,17500000.0,,проспект Прокшинский,10,Прокшино,Прокшино
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/302728199/,Москва,sale,flat,5,17,2,55.9,17900000.0,Отрадное,Нововладыкинский проезд,1к3,Окружная,Поколение
MR Group,developer,https://www.cian.ru/sale/flat/303227074/,Москва,sale,flat,17,30,1,41.5,19199932.0,Южнопортовый,Волгоградский проспект,32/3к4,Волгоградский проспект,Метрополия
Level Group,developer,https://www.cian.ru/sale/flat/301797575/,Москва,sale,flat,2,48,1,32.5,,Очаково-Матвеевское,,к8,Аминьевская,Левел Мичуринский ЖК
BERI,real_estate_agent,https://www.cian.ru/sale/flat/301596332/,Москва,sale,flat,4,5,2,53.9,20290000.0,Ломоносовский, Строителей,5К4,Университет,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300140948/,Москва,sale,flat,11,20,1,44.0,22490000.0,Левобережный,Ленинградское шоссе,69,Беломорская,Aquatoria
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296736911/,Москва,sale,flat,4,21,1,45.15,22500000.0,Алексеевский,Новоалексеевская ,16к2,Алексеевская,Серебряный фонтан
Estes,real_estate_agent,https://www.cian.ru/sale/flat/304233063/,Москва,sale,flat,3,22,2,60.8,23000000.0,Хорошево-Мневники,3-я Хорошевская ,17А,Зорге,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304119233/,Москва,sale,flat,8,24,2,45.2,23300000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/296649512/,Москва,sale,flat,19,27,2,60.0,23500000.0,Лефортово, Крузенштерна,10к1,Авиамоторная,Символ
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303933867/,Москва,sale,flat,8,46,2,43.5,23500000.0,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
MR Group,developer,https://www.cian.ru/sale/flat/276155299/,Москва,sale,flat,3,57,1,42.77,24617001.0,Филевский парк,,,Фили,Фили Сити ЖК
Level Group,developer,https://www.cian.ru/sale/flat/303990061/,Москва,sale,flat,3,11,1,37.9,,Басманный,Большая Почтовая ,,Электрозаводская,Level Бауманская
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/304247865/,Москва,sale,flat,4,28,2,85.0,26500000.0,Даниловский,1-я оч.,к5,ЗИЛ,Shagal
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303301977/,Москва,sale,flat,14,27,2,83.0,26800000.0,Даниловский,1-я оч.,11к2,ЗИЛ,Shagal
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293718260/,Москва,sale,flat,5,6,1,43.0,27500000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Delight Realty,real_estate_agent,https://www.cian.ru/sale/flat/295316100/,Москва,sale,flat,22,42,2,61.6,27990000.0,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300386935/,Москва,sale,flat,10,33,2,44.3,28500000.0,Хорошево-Мневники,Причальный проезд,10А,Шелепиха,Level Причальный
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/304320920/,Москва,sale,flat,3,41,2,66.0,29000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303788194/,Москва,sale,flat,14,29,2,50.1,29600000.0,Хорошево-Мневники,Шелепихинская набережная,40к3,Хорошёвская,Sydney City
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/303196371/,Москва,sale,flat,14,28,2,67.0,30000000.0,Можайский,переулок 2-й Петра Алексеева,5,Рабочий посёлок,КутузовGRAD II
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/288460035/,Москва,sale,flat,9,21,2,50.3,33400000.0,Басманный, Земляной Вал,37к1,Чкаловская,Дом Chkalov
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303875575/,Москва,sale,flat,21,36,2,58.0,35300000.0,Хорошево-Мневники,Шелепихинская набережная,42к2,Полежаевская,FreeDOM
Alliance Agency Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302295108/,Москва,sale,flat,10,46,2,58.5,39900000.0,Даниловский,Дубининская ,59А,Павелецкая,Павелецкая Сити
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296565916/,Москва,sale,flat,4,8,2,65.0,44900000.0,Тверской,Благовещенский переулок,5,Маяковская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/299008778/,Москва,sale,flat,4,28,2,70.0,48000000.0,Кунцево, Академика Павлова,28,Молодёжная,Академика Павлова
Capital Group,developer,https://www.cian.ru/sale/flat/301483027/,Москва,sale,flat,12,18,1,53.4,59653573.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300133660/,Москва,sale,flat,3,3,2,107.8,70000000.0,Покровское-Стрешнево,Ленинградское шоссе,23к1,Балтийская,TWEED PARK
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303370372/,Москва,sale,flat,4,8,1,57.0,70000000.0,Таганский,Тессинский переулок,1,Чкаловская,"Тессинский, 1"
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299558863/,Москва,sale,flat,2,4,2,136.6,75000000.0,Донской,Варшавское шоссе,9с28,Тульская,Даниловская мануфактура
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006046/,Москва,sale,flat,4,6,2,156.0,77400000.0,Тверской, Малая Дмитровка,29С1,Маяковская,
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/303920462/,Москва,sale,flat,17,78,2,92.0,80000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/299328634/,Москва,sale,flat,7,12,2,77.2,104900000.0,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302731259/,Москва,sale,flat,5,14,2,82.0,150000000.0,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой
Кристина Лебедева,realtor,https://www.cian.ru/sale/flat/300285703/,Москва,sale,flat,3,4,2,36.0,10150000.0,Соколиная гора,Щербаковская ,53,Измайлово,
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/301206411/,Москва,sale,flat,2,14,2,42.0,11500000.0,Молжаниновский,,,Речной вокзал,Первый Ленинградский ЖК
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303926346/,Москва,sale,flat,2,17,2,43.2,12500000.0,, Бориса Пастернака,8,Рассказовка,Переделкино Ближнее Город-парк
TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/297704043/,Москва,sale,flat,15,21,1,36.5,16500000.0,Головинский,Кронштадтский бульвар,к1/2,Водный стадион,Кронштадтский 9
ID 106378487,homeowner,https://www.cian.ru/sale/flat/300979940/,Москва,sale,flat,2,5,2,43.0,17100000.0,Савеловский, Верхняя Масловка,12,Петровский Парк,
Prime,real_estate_agent,https://www.cian.ru/sale/flat/300941020/,Москва,sale,flat,2,28,1,46.3,18400000.0,Даниловский,1-я оч.,к7,ЗИЛ,Shagal
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/303228530/,Москва,sale,flat,19,43,1,39.5,21050000.0,Хорошево-Мневники,Шелепихинская набережная,40к1,Шелепиха,Sydney City
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299865204/,Москва,sale,flat,32,44,1,46.7,21500000.0,Покровское-Стрешнево,Строительный проезд,9С6,Трикотажная,Sky Garden
ASTERUS,representative_developer,https://www.cian.ru/sale/flat/302828206/,Москва,sale,flat,14,25,1,44.3,23527036.0,Покровское-Стрешнево,,,Тушинская,Алиа ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303902689/,Москва,sale,flat,16,41,2,50.5,24380000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Премиум Сервис,real_estate_agent,https://www.cian.ru/sale/flat/300644939/,Москва,sale,flat,9,29,1,35.4,25000000.0,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,Сердце Столицы
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302727288/,Москва,sale,flat,11,15,2,53.0,30500000.0,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
Prime,real_estate_agent,https://www.cian.ru/sale/flat/294562801/,Москва,sale,flat,25,33,2,69.8,36800000.0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,Level Причальный
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302893025/,Москва,sale,flat,28,29,2,53.0,44000000.0,Якиманка,Мытная ,40к4,Октябрьская,Sky House
CITYZEN,real_estate_agent,https://www.cian.ru/sale/flat/304288400/,Москва,sale,flat,54,68,2,85.0,58000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302620422/,Москва,sale,flat,11,12,2,77.0,64000000.0,Аэропорт,Ленинградский проспект,36с36,Динамо,ВТБ Арена парк
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/296233811/,Москва,sale,flat,20,25,1,33.9,8000000.0,,,6,Коммунарка,
Колди,developer,https://www.cian.ru/sale/flat/302241111/,Москва,sale,flat,12,21,1,38.59,11281238.0,Нижегородский,Автомобильный проезд,4,Калитники,N’ice Loft
Адресат,real_estate_agent,https://www.cian.ru/sale/flat/303608215/,Москва,sale,flat,18,33,2,57.0,16200000.0,Южное Бутово, Поляны,5Ак2,Улица Скобелевская,Столичные поляны
MR Group,developer,https://www.cian.ru/sale/flat/298871546/,Москва,sale,flat,38,48,1,34.8,16378724.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,Мультиквартал CITYZEN
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298484253/,Москва,sale,flat,3,14,1,38.8,16500000.0,Даниловский,проспект Лихачева,,ЗИЛ,Nagatino i-Land
Sezar Group,developer,https://www.cian.ru/sale/flat/303106303/,Москва,sale,flat,2,51,1,37.01,16839550.0,Хорошевский,2-й Хорошевский проезд,7С15,Хорошёвская,SEZAR CITY
Apsis Globe,developer,https://www.cian.ru/sale/flat/283700420/,Москва,sale,flat,6,21,2,72.5,16900000.0,Тропарево-Никулино,Востряковское шоссе,7с3,Озёрная,Комплекс апартаментов CITIMIX
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303253613/,Москва,sale,flat,4,15,1,30.2,17500000.0,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303331637/,Москва,sale,flat,8,16,2,54.6,17950000.0,Северное Тушино, Свободы,93,Планерная,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301313976/,Москва,sale,flat,26,42,2,46.0,22500000.0,Котловка,Большая Черемушкинская ,25С14,Нагорная,Eniteo
Sezar Group,developer,https://www.cian.ru/sale/flat/303106768/,Москва,sale,flat,23,51,1,44.29,22942220.0,Хорошевский,2-й Хорошевский проезд,7С18,Хорошёвская,SEZAR CITY
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/300877720/,Москва,sale,flat,25,37,2,57.0,23000000.0,Останкинский, Годовикова,11к5,Алексеевская,iLove
ID 100604708,homeowner,https://www.cian.ru/sale/flat/303934208/,Москва,sale,flat,3,17,2,51.0,23200000.0,Филевский парк, Василисы Кожиной,14К2,Багратионовская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299110205/,Москва,sale,flat,7,11,1,39.8,24950000.0,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297075052/,Москва,sale,flat,50,55,2,42.47,27500000.0,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/296569807/,Москва,sale,flat,50,55,2,42.62,27500000.0,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
TOUCH,developer,https://www.cian.ru/sale/flat/302838389/,Москва,sale,flat,6,13,1,48.79,30444000.0,Южнопортовый,,к1,Дубровка,Шампайн ЖК
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/303122846/,Москва,sale,flat,17,22,2,73.3,32000000.0,Щукино,Щукинская ,3,Стрешнево,Интонация
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/304091290/,Москва,sale,flat,5,11,2,66.0,33000000.0,Лефортово, Золоторожский Вал,,Серп и Молот,Символ
VOS HOD,developer,https://www.cian.ru/sale/flat/300560430/,Москва,sale,flat,9,17,1,69.5,39128500.0,Филевский парк, Василисы Кожиной,вл25/1,Филёвский парк,AHEAD
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301078527/,Москва,sale,flat,3,5,1,47.0,41670000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297080776/,Москва,sale,flat,50,55,2,65.21,42000000.0,Марьина роща, 4-я Марьиной рощи,12С4,Марьина Роща,Mod
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/297716380/,Москва,sale,flat,36,53,2,78.0,45800000.0,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302464388/,Москва,sale,flat,9,21,2,86.0,47300000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
FORMA,developer,https://www.cian.ru/sale/flat/300120478/,Москва,sale,flat,11,33,2,58.74,49929000.0,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК
FORMA,developer,https://www.cian.ru/sale/flat/298003712/,Москва,sale,flat,27,33,2,75.56,54596180.0,Пресненский,к2.3,к2.3,Белорусская,Репаблик ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298199191/,Москва,sale,flat,11,14,2,69.0,55000000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden
Capital Group,developer,https://www.cian.ru/sale/flat/288136857/,Москва,sale,flat,59,85,2,80.6,65911314.0,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО
Capital Group,developer,https://www.cian.ru/sale/flat/288136854/,Москва,sale,flat,54,85,2,83.3,66423558.0,Пресненский,1-й Красногвардейский проезд,21с2,Москва-Сити,МФК ОКО
